판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,사건종류코드,판결유형,판결요지,선고,판례상세링크
237907,이혼및위자료,2023므12218,2023.11.02,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=237907&type=HTML&mobileYn=
237555,이혼및재산분할등·이혼등,2023므10861,2023.09.21,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=237555&type=HTML&mobileYn=
236825,이혼및친권자지정[통신비밀보호법에서 정한 통신사실확인자료의 제출을 명하는 법원의 문서제출명령에 대하여 전기통신사업자가 통신비밀보호법의 규정을 근거로 자료의 제출을 거부하자 그에 대한 제재로서 과태료를 부과한 사건],2018스34,2023.07.17,대법원,가사,400103,전원합의체 결정,,자,/DRF/lawService.do?OC=cacao5424&target=prec&ID=236825&type=HTML&mobileYn=
238101,이혼및위자료,2022르5696,2023.04.19,의정부지방법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=238101&type=HTML&mobileYn=
238757,이혼및재산분할등·이혼등,2021르6860,2023.01.26,대구가정법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=238757&type=HTML&mobileYn=
237071,이혼등,2021므11112,2022.07.28,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=237071&type=HTML&mobileYn=
238117,이혼및위자료,2019드단67057,2022.07.05,의정부지방법원고양지원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=238117&type=HTML&mobileYn=
237063,이혼및재산분할,2022므10109,2022.06.16,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=237063&type=HTML&mobileYn=
237061,이혼등,2022므10932,2022.06.16,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=237061&type=HTML&mobileYn=
235447,이혼,2019므14477,2022.06.16,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=235447&type=HTML&mobileYn=
222695,이혼등,2021므14258,2022.06.16,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=222695&type=HTML&mobileYn=
221981,"이혼등[원고가 남편인 피고를 상대로 민법 제840조 제1호(배우자의 부정한 행위), 제2호(악의의 유기), 제6호(혼인을 계속하기 어려운 중대한 사유)를 주장하면서 이혼, 위자료, 재산분할 등을 청구한 사안]",2021므15480,2022.05.26,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=221981&type=HTML&mobileYn=
232987,이혼,2021므15398,2022.04.14,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=232987&type=HTML&mobileYn=
228769,이혼등·이혼등청구의소,2021므15145,2022.01.14,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=228769&type=HTML&mobileYn=
219827,혼인의무효·이혼,2019므11584,2021.12.10,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=219827&type=HTML&mobileYn=
238769,이혼및재산분할등,2020드단10214,2021.11.16,대구가정법원안동지원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=238769&type=HTML&mobileYn=
223373,이혼및양육자지정,2019므15425,2021.10.28,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=223373&type=HTML&mobileYn=
218703,이혼ㆍ이혼및양육자지정,2021므12320,2021.09.30,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=218703&type=HTML&mobileYn=
222865,이혼등,2020르1504,2021.09.16,수원가정법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=222865&type=HTML&mobileYn=
217313,이혼위자료및재산분할청구,2021므12108,2021.08.19,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=217313&type=HTML&mobileYn=
223465,이혼등,2020르11795,2021.07.16,인천가정법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=223465&type=HTML&mobileYn=
216857,이혼및위자료,2021므10898,2021.06.10,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=216857&type=HTML&mobileYn=
218403,이혼ㆍ이혼및양육자지정,2020르293,2021.04.08,전주지방법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=218403&type=HTML&mobileYn=
